"x1.2","x2.1","x2.2","x2.3","x2.4","x2.5","x2.6"
174,13,1,1,6,2,NA
175,17,1,1,7,1,NA
45,19,1,2,NA,NA,14
44,17,1,1,10,1,NA
30300,15,1,2,NA,NA,7
1011,15,1,1,9,2,NA
1012,17,1,1,10,2,NA
1013,15,1,2,NA,NA,12
28,16,1,1,10,NA,NA
115,13,1,1,7,2,NA
114,16,1,1,7,2,NA
113,18,2,2,NA,NA,14
171,15,2,1,10,1,NA
172,16,1,1,9,2,NA
600,14,1,1,7,1,NA
589,15,2,1,8,1,NA
8,19,1,2,NA,NA,14
9,18,1,2,NA,NA,14
10,13,1,1,3,1,NA
11,13,1,1,4,1,NA
12,16,1,1,12,1,NA
342,20,1,2,NA,NA,14
154,20,2,2,NA,NA,14
153,19,1,2,NA,NA,11
152,15,1,1,12,1,NA
150,20,1,2,NA,NA,14
168,20,1,2,NA,NA,14
167,18,1,2,NA,NA,14
613,20,1,2,NA,NA,11
612,16,1,1,9,1,NA
451,17,2,1,10,1,NA
229,13,1,1,9,1,2
230,15,2,1,8,2,NA
490,20,1,2,NA,NA,11
352,19,2,2,NA,NA,11
353,20,1,2,NA,NA,14
356,19,1,2,NA,NA,10
355,13,2,1,7,NA,NA
354,14,1,1,10,NA,NA
294,19,2,2,NA,NA,14
13,19,1,2,NA,NA,14
14,20,1,2,NA,NA,14
15,16,1,1,12,1,NA
17200,14,1,1,7,1,NA
271,19,1,2,NA,NA,11
211,17,2,1,9,1,NA
209,16,2,1,9,1,NA
210,18,1,1,11,1,NA
202,17,1,1,9,1,NA
208,19,1,1,10,5,NA
387,14,1,2,NA,NA,9
390,19,2,2,NA,NA,12
388,15,1,2,NA,NA,7
389,19,2,2,NA,NA,14
314,18,2,1,11,1,11
298,19,1,1,11,2,NA
317,17,2,1,10,1,10
357,17,1,1,10,NA,NA
94,17,1,1,8,1,NA
1017,14,1,1,8,NA,NA
614,16,1,1,10,1,NA
611,13,1,1,7,2,NA
143,17,2,1,9,NA,NA
138,17,2,1,10,2,NA
141,14,1,1,8,NA,NA
142,15,2,1,9,NA,NA
381,14,1,2,NA,NA,13
552,17,1,2,NA,NA,10
448,16,1,2,NA,NA,11
449,18,2,2,NA,NA,11
450,19,1,2,NA,NA,11
482,20,1,2,NA,NA,11
478,20,1,2,NA,NA,11
479,19,1,2,NA,NA,11
481,14,1,1,7,1,NA
436,19,1,1,7,2,NA
543200,20,1,2,NA,NA,11
543300,19,1,2,NA,NA,11
436200,15,1,1,7,1,NA
433,18,1,2,NA,NA,7
427,19,1,2,NA,NA,13
444200,15,2,1,10,2,NA
