"x1.2","x2.1","x2.2","x4.1","x4.2","x4.3","x4.4","x4.5","x4.6","x4.14","x4.7"
190,18,1,2,NA,NA,NA,NA,NA,NA,NA
539,17,1,2,NA,NA,NA,NA,NA,NA,NA
542,19,2,2,NA,NA,NA,NA,NA,NA,NA
543,18,2,2,NA,NA,NA,NA,NA,NA,NA
540,16,2,2,NA,NA,NA,NA,NA,NA,NA
538,18,1,1,1,1,2,1,1,2,2
541,17,2,2,NA,NA,NA,NA,NA,NA,NA
162,19,1,2,NA,NA,NA,NA,NA,2,NA
26,16,2,2,NA,NA,NA,NA,NA,NA,NA
420,16,1,2,NA,NA,NA,NA,NA,NA,NA
422,19,1,1,1,2,2,2,1,NA,1
130,18,2,2,NA,NA,NA,NA,NA,NA,NA
131,16,2,2,NA,NA,NA,NA,NA,NA,NA
132,14,1,2,NA,NA,NA,NA,NA,NA,NA
128,19,2,2,NA,NA,NA,NA,NA,NA,NA
129,15,2,2,NA,NA,NA,NA,NA,NA,NA
1005,18,1,2,NA,NA,NA,NA,NA,NA,NA
1006,19,1,2,NA,NA,NA,NA,NA,NA,NA
444,19,1,2,NA,NA,NA,NA,NA,1,NA
351,17,1,2,NA,NA,NA,NA,NA,NA,NA
1009,15,1,3,NA,NA,NA,NA,NA,NA,NA
545,15,1,2,NA,NA,NA,NA,NA,NA,NA
544,19,2,2,NA,NA,NA,NA,NA,NA,NA
532,18,1,2,NA,NA,NA,NA,NA,NA,NA
384,19,2,1,1,2,1,1,1,NA,1
383,17,2,2,NA,NA,NA,NA,NA,NA,NA
466,16,1,2,NA,NA,NA,NA,NA,1,NA
107,20,1,2,NA,NA,NA,NA,NA,NA,NA
102,18,1,3,NA,NA,NA,NA,NA,NA,NA
408,15,1,3,NA,NA,NA,NA,NA,NA,NA
456,13,1,3,NA,NA,NA,NA,NA,NA,NA
452,17,2,2,NA,NA,NA,NA,NA,NA,NA
457,19,1,1,1,2,2,2,2,NA,1
19,20,1,1,1,1,1,1,1,1,1
18,19,2,2,NA,NA,NA,NA,NA,NA,NA
17,17,1,1,1,1,1,1,1,1,2
20,18,2,2,NA,NA,NA,NA,NA,NA,NA
146,17,2,2,NA,NA,NA,NA,NA,NA,NA
316,20,1,1,2,1,2,1,1,NA,2
459,19,1,3,NA,NA,NA,NA,NA,NA,NA
454,19,1,3,NA,NA,NA,NA,NA,NA,NA
453,20,1,2,NA,NA,NA,NA,NA,NA,NA
373,13,1,2,NA,NA,NA,NA,NA,NA,NA
374,20,1,3,NA,NA,NA,NA,NA,NA,NA
375,20,1,3,NA,NA,NA,NA,NA,2,NA
372,20,1,2,NA,NA,NA,NA,NA,NA,NA
526,19,1,2,NA,NA,NA,NA,NA,2,NA
529,19,2,2,NA,NA,NA,NA,NA,NA,NA
528,19,2,2,NA,NA,NA,NA,NA,NA,NA
527,19,2,2,NA,NA,NA,NA,NA,NA,NA
530,15,2,2,NA,NA,NA,NA,NA,NA,NA
533,16,1,2,NA,NA,NA,NA,NA,NA,NA
147,15,2,2,NA,NA,NA,NA,NA,NA,NA
315,20,1,2,NA,NA,NA,NA,NA,2,NA
394,18,2,2,NA,NA,NA,NA,NA,NA,NA
393,17,1,2,NA,NA,NA,NA,NA,1,NA
392,19,2,1,1,2,2,1,2,NA,2
119,18,1,2,NA,NA,NA,NA,NA,NA,NA
121,20,2,1,2,1,2,1,1,NA,2
254,18,1,3,NA,NA,NA,NA,NA,NA,NA
253,18,1,2,NA,NA,NA,NA,NA,NA,NA
122,20,2,2,NA,NA,NA,NA,NA,NA,NA
311,18,1,3,NA,NA,NA,NA,NA,NA,NA
306,18,1,2,NA,NA,NA,NA,NA,NA,NA
472,20,2,2,NA,NA,NA,NA,NA,NA,NA
48,19,1,1,2,1,2,1,1,2,1
49,17,1,2,NA,NA,NA,NA,NA,NA,NA
50,18,2,2,NA,NA,NA,NA,NA,NA,NA
187,20,2,2,NA,NA,NA,NA,NA,NA,NA
192,18,1,1,1,2,2,2,2,NA,2
186,20,1,1,1,1,2,1,1,NA,2
189,18,2,3,NA,NA,NA,NA,NA,NA,NA
185,18,1,2,NA,NA,NA,NA,NA,NA,NA
51,18,2,3,NA,NA,NA,NA,NA,NA,NA
42,19,2,2,NA,NA,NA,NA,NA,NA,NA
53,18,1,1,1,2,1,1,2,3,2
52,17,1,3,NA,NA,NA,NA,NA,NA,NA
55,18,1,3,NA,NA,NA,NA,NA,1,NA
57,19,1,3,NA,NA,NA,NA,NA,3,NA
61,17,2,3,NA,NA,NA,NA,NA,NA,NA
54,18,2,3,NA,NA,NA,NA,NA,NA,NA
60,16,2,2,NA,NA,NA,NA,NA,NA,NA
58,19,2,3,NA,NA,NA,NA,NA,NA,NA
312,20,1,2,NA,NA,NA,NA,NA,NA,NA
606,19,2,2,NA,NA,NA,NA,NA,NA,NA
607,19,2,2,NA,NA,NA,NA,NA,NA,NA
173,15,1,2,NA,NA,NA,NA,NA,NA,NA
174,13,1,2,NA,NA,NA,NA,NA,NA,NA
175,17,1,2,NA,NA,NA,NA,NA,NA,NA
30300,15,1,1,1,2,1,2,1,1,1
1013,15,1,1,1,1,2,1,1,3,2
1014,18,1,3,NA,NA,NA,NA,NA,NA,NA
115,13,1,2,NA,NA,NA,NA,NA,NA,NA
114,16,1,2,NA,NA,NA,NA,NA,NA,NA
172,16,1,2,NA,NA,NA,NA,NA,NA,NA
600,14,1,2,NA,NA,NA,NA,NA,NA,NA
589,15,2,2,NA,NA,NA,NA,NA,NA,NA
12,16,1,3,NA,NA,NA,NA,NA,NA,NA
154,20,2,2,NA,NA,NA,NA,NA,NA,NA
168,20,1,2,NA,NA,NA,NA,NA,NA,NA
167,18,1,2,NA,NA,NA,NA,NA,NA,NA
367,17,1,2,NA,NA,NA,NA,NA,NA,NA
1016,20,1,2,NA,NA,NA,NA,NA,1,NA
490,20,1,1,1,2,2,2,2,1,2
352,19,2,1,1,2,2,2,2,NA,2
353,20,1,2,NA,NA,NA,NA,NA,NA,NA
356,19,1,1,1,1,1,1,1,1,2
354,14,1,2,NA,NA,NA,NA,NA,NA,NA
294,19,2,2,NA,NA,NA,NA,NA,NA,NA
13,19,1,1,1,2,2,2,2,1,2
15,16,1,3,NA,NA,NA,NA,NA,1,NA
211,17,2,1,2,2,2,2,2,NA,1
366,13,1,2,NA,NA,NA,NA,NA,NA,NA
365,18,1,3,NA,NA,NA,NA,NA,2,NA
364,18,1,3,NA,NA,NA,NA,NA,NA,NA
388,15,1,2,NA,NA,NA,NA,NA,NA,NA
389,19,2,2,NA,NA,NA,NA,NA,NA,NA
196,19,2,2,NA,NA,NA,NA,NA,NA,NA
357,17,1,2,NA,NA,NA,NA,NA,NA,NA
94,17,1,3,NA,NA,NA,NA,NA,NA,NA
1017,14,1,2,NA,NA,NA,NA,NA,NA,NA
465,19,1,1,1,2,2,1,1,NA,2
143,17,2,2,NA,NA,NA,NA,NA,NA,NA
138,17,2,2,NA,NA,NA,NA,NA,NA,NA
141,14,1,2,NA,NA,NA,NA,NA,NA,NA
142,15,2,2,NA,NA,NA,NA,NA,NA,NA
447,15,1,2,NA,NA,NA,NA,NA,NA,NA
448,16,1,3,NA,NA,NA,NA,NA,NA,NA
450,19,1,2,NA,NA,NA,NA,NA,NA,NA
451200,16,1,2,NA,NA,NA,NA,NA,NA,NA
482,20,1,2,NA,NA,NA,NA,NA,NA,NA
495,20,1,2,NA,NA,NA,NA,NA,NA,NA
479,19,1,2,NA,NA,NA,NA,NA,NA,NA
436,19,1,2,NA,NA,NA,NA,NA,NA,NA
543300,19,1,2,NA,NA,NA,NA,NA,NA,NA
123,20,2,2,NA,NA,NA,NA,NA,NA,NA
483,18,1,2,NA,NA,NA,NA,NA,NA,NA
436200,15,1,2,NA,NA,NA,NA,NA,NA,NA
433,18,1,2,NA,NA,NA,NA,NA,NA,NA
427,19,1,3,NA,NA,NA,NA,NA,1,NA
442,19,1,3,NA,NA,NA,NA,NA,NA,NA
382,20,1,2,NA,NA,NA,NA,NA,2,NA
443,16,1,3,NA,NA,NA,NA,NA,NA,NA
