"x1.2","x2.1","x2.2","x3.6","x3.12","x3.13","x4.4","x4.16","x4.21","x5.14"
32,18,1,2,1,5,NA,NA,NA,NA
33,18,1,2,1,4,NA,NA,NA,NA
420,16,1,1,1,1,NA,NA,NA,NA
423,14,1,1,1,5,NA,NA,NA,1
422,19,1,NA,1,3,2,NA,NA,NA
160,19,1,2,1,1,NA,NA,NA,NA
130,18,2,NA,1,1,NA,NA,NA,NA
131,16,2,NA,1,NA,NA,NA,NA,NA
132,14,1,NA,1,NA,NA,NA,NA,NA
128,19,2,NA,1,1,NA,NA,NA,NA
129,15,2,NA,1,NA,NA,NA,NA,NA
3,20,1,1,NA,NA,NA,NA,NA,NA
1005,18,1,2,1,6,NA,NA,NA,NA
1006,19,1,2,1,3,NA,NA,NA,NA
444,19,1,2,1,2,NA,2,NA,2
351,17,1,1,2,7,NA,NA,NA,NA
6,14,1,1,NA,NA,NA,NA,NA,NA
5,16,1,1,NA,NA,NA,NA,NA,NA
4,13,1,1,NA,NA,NA,NA,NA,NA
1009,15,1,1,1,1,NA,NA,NA,NA
307,17,1,1,1,NA,NA,NA,NA,NA
545,15,1,2,1,3,NA,NA,NA,NA
548,17,1,2,1,NA,NA,NA,NA,NA
544,19,2,NA,1,4,NA,NA,NA,NA
551,14,1,2,1,NA,NA,NA,NA,NA
550,14,1,2,1,NA,NA,NA,NA,NA
532,18,1,1,1,NA,NA,NA,NA,NA
537,15,2,NA,1,NA,NA,NA,NA,NA
384,19,2,NA,1,2,1,NA,NA,NA
386,16,1,2,1,5,NA,NA,NA,NA
385,13,1,1,1,2,NA,NA,NA,NA
466,16,1,1,1,5,NA,1,1,2
107,20,1,1,1,1,NA,NA,NA,NA
102,18,1,1,1,5,NA,NA,NA,NA
404,13,1,NA,1,1,NA,NA,NA,NA
408,15,1,1,1,1,NA,NA,NA,NA
409,17,1,1,1,1,NA,NA,NA,NA
456,13,1,NA,1,1,NA,NA,NA,NA
452,17,2,NA,2,NA,NA,NA,NA,NA
457,19,1,NA,1,3,2,NA,NA,NA
19,20,1,1,1,3,1,1,2,1
18,19,2,NA,1,3,NA,NA,NA,NA
17,17,1,1,1,1,1,1,4,1
25,14,1,NA,2,7,NA,NA,NA,NA
24,20,1,1,1,5,NA,NA,NA,NA
21,15,2,NA,1,1,NA,NA,NA,NA
20,18,2,NA,1,1,NA,NA,NA,NA
146,17,2,NA,1,1,NA,NA,NA,NA
23,14,1,1,1,1,NA,NA,NA,NA
316,20,1,2,1,5,2,NA,NA,1
178,13,1,NA,1,NA,NA,NA,NA,NA
459,19,1,1,1,3,NA,NA,NA,NA
454,19,1,NA,1,3,NA,NA,NA,NA
453,20,1,NA,1,1,NA,NA,NA,NA
333,20,1,1,1,NA,NA,NA,NA,NA
373,13,1,NA,1,1,NA,NA,NA,NA
374,20,1,2,1,1,NA,NA,NA,NA
375,20,1,2,2,NA,NA,2,NA,3
372,20,1,2,2,NA,NA,NA,NA,NA
534,13,2,NA,1,NA,NA,NA,NA,NA
526,19,1,1,1,NA,NA,1,NA,2
529,19,2,NA,1,NA,NA,NA,NA,NA
528,19,2,NA,1,NA,NA,NA,NA,NA
527,19,2,NA,1,NA,NA,NA,NA,NA
530,15,2,NA,1,NA,NA,NA,NA,NA
533,16,1,1,1,NA,NA,NA,NA,NA
147,15,2,NA,1,1,NA,NA,NA,NA
315,20,1,2,NA,1,NA,2,2,1
177,14,2,NA,1,6,NA,NA,NA,NA
180,15,2,NA,1,NA,NA,NA,NA,NA
394,18,2,NA,2,1,NA,NA,NA,NA
393,17,1,1,1,3,NA,2,1,3
392,19,2,NA,2,7,2,NA,NA,NA
395,15,1,1,2,7,NA,2,1,1
119,18,1,2,1,5,NA,NA,NA,NA
467,15,1,1,1,5,NA,1,1,2
470,13,1,NA,1,1,NA,NA,NA,NA
469,17,2,NA,1,1,NA,NA,NA,NA
121,20,2,NA,1,5,2,NA,NA,NA
254,18,1,1,2,NA,NA,NA,NA,NA
253,18,1,2,1,5,NA,NA,NA,NA
252,18,1,2,2,NA,NA,NA,NA,NA
122,20,2,NA,2,NA,NA,NA,NA,NA
311,18,1,1,NA,NA,NA,NA,NA,NA
306,18,1,1,1,4,NA,NA,NA,NA
304,13,1,2,NA,NA,NA,NA,NA,NA
310,17,1,2,NA,NA,NA,NA,NA,NA
324,19,1,NA,1,NA,NA,NA,NA,NA
323,20,1,1,1,NA,NA,1,NA,1
401,16,1,1,1,1,NA,NA,NA,NA
201,17,1,2,1,8,NA,1,4,1
588,16,1,NA,1,1,NA,NA,NA,NA
587,13,1,2,1,1,NA,NA,NA,NA
48,19,1,2,1,1,2,2,NA,1
49,17,1,2,2,NA,NA,NA,NA,NA
187,20,2,NA,1,4,NA,NA,NA,NA
192,18,1,1,1,5,2,NA,NA,NA
186,20,1,2,1,1,2,NA,NA,NA
189,18,2,NA,1,1,NA,NA,NA,NA
185,18,1,1,1,4,NA,NA,NA,NA
184,18,1,2,2,NA,NA,NA,NA,NA
59,19,1,1,1,4,NA,NA,NA,NA
51,18,2,NA,2,7,NA,NA,NA,NA
41,18,1,2,1,4,NA,NA,NA,NA
42,19,2,NA,2,7,NA,NA,NA,NA
43,16,1,2,2,NA,NA,NA,NA,NA
53,18,1,1,1,5,1,1,1,2
52,17,1,1,2,7,NA,NA,NA,NA
55,18,1,1,1,5,NA,2,1,2
57,19,1,1,1,5,NA,2,1,2
61,17,2,NA,2,7,NA,NA,NA,NA
54,18,2,NA,2,7,NA,NA,NA,NA
60,16,2,NA,2,7,NA,NA,NA,NA
58,19,2,NA,NA,7,NA,NA,NA,NA
309,18,1,2,NA,NA,NA,NA,NA,NA
308,18,1,2,1,1,NA,NA,NA,NA
312,20,1,2,NA,NA,NA,NA,NA,NA
606,19,2,NA,1,2,NA,NA,NA,NA
607,19,2,NA,1,1,NA,NA,NA,NA
605,18,2,NA,1,1,NA,NA,NA,NA
604,19,2,NA,1,1,NA,NA,NA,NA
602,14,1,2,1,NA,NA,NA,NA,NA
603,13,1,NA,1,NA,NA,NA,NA,NA
607200,14,1,2,1,NA,NA,NA,NA,NA
292,17,1,2,1,NA,NA,NA,NA,NA
293,17,1,1,1,NA,NA,NA,NA,NA
159,16,1,2,2,7,NA,NA,NA,NA
157,14,2,NA,2,7,NA,NA,NA,NA
156,15,2,NA,2,7,NA,NA,NA,NA
173,15,1,2,1,1,NA,NA,NA,NA
174,13,1,1,1,NA,NA,NA,NA,NA
175,17,1,2,1,NA,NA,NA,NA,NA
45,19,1,2,1,4,NA,NA,NA,NA
44,17,1,2,1,4,NA,NA,NA,NA
30300,15,1,1,1,5,1,1,1,2
1011,15,1,2,2,NA,NA,NA,NA,NA
1012,17,1,2,2,NA,NA,NA,NA,NA
1013,15,1,2,2,NA,2,2,NA,3
28,16,1,2,1,4,NA,NA,NA,NA
1014,18,1,2,1,8,NA,NA,NA,NA
115,13,1,2,1,5,NA,NA,NA,NA
114,16,1,2,1,1,NA,NA,NA,NA
113,18,2,NA,1,5,NA,NA,NA,NA
171,15,2,NA,1,1,NA,NA,NA,NA
172,16,1,2,1,1,NA,NA,NA,NA
600,14,1,2,1,NA,NA,NA,NA,NA
589,15,2,NA,1,NA,NA,NA,NA,NA
7,19,1,1,NA,NA,NA,NA,NA,NA
8,19,1,1,NA,NA,NA,NA,NA,NA
9,18,1,2,NA,NA,NA,NA,NA,NA
10,13,1,NA,2,7,NA,NA,NA,NA
12,16,1,1,2,NA,NA,NA,NA,NA
342,20,1,1,2,1,NA,NA,NA,1
153,19,1,2,1,5,NA,1,4,1
152,15,1,2,2,7,NA,NA,NA,NA
150,20,1,2,2,7,NA,NA,NA,NA
168,20,1,2,1,1,NA,NA,NA,NA
167,18,1,2,1,1,NA,NA,NA,NA
367,17,1,2,2,1,NA,NA,NA,NA
1016,20,1,NA,NA,NA,NA,1,1,1
613,20,1,1,1,5,NA,NA,NA,NA
612,16,1,2,2,7,NA,NA,NA,NA
228,20,1,2,1,1,NA,NA,NA,NA
229,13,1,1,2,NA,NA,NA,NA,NA
230,15,2,NA,2,NA,NA,NA,NA,NA
490,20,1,2,1,1,2,2,3,NA
352,19,2,NA,2,3,2,NA,NA,NA
353,20,1,2,2,7,NA,NA,NA,NA
356,19,1,2,2,7,1,1,3,2
354,14,1,1,1,6,NA,NA,NA,NA
294,19,2,NA,1,1,NA,NA,NA,NA
13,19,1,1,1,5,2,1,4,1
14,20,1,1,NA,NA,NA,NA,NA,NA
15,16,1,1,1,5,NA,2,1,NA
16,17,1,1,1,5,NA,NA,NA,NA
271,19,1,1,2,1,NA,NA,NA,NA
270,19,1,2,1,NA,NA,NA,NA,NA
211,17,2,NA,NA,NA,2,NA,NA,NA
207,17,1,1,1,1,NA,2,4,2
210,18,1,1,1,1,NA,NA,NA,NA
205,19,1,1,NA,NA,NA,NA,NA,NA
202,17,1,2,1,8,NA,1,4,1
208,19,1,1,1,NA,NA,NA,NA,NA
366,13,1,2,2,NA,NA,NA,NA,NA
365,18,1,2,1,2,NA,2,NA,2
364,18,1,2,2,NA,NA,NA,NA,NA
391,17,1,NA,2,NA,NA,NA,NA,NA
387,14,1,2,2,7,NA,NA,NA,NA
390,19,2,NA,2,NA,NA,NA,NA,NA
388,15,1,2,2,4,NA,NA,NA,NA
194,19,1,2,1,5,NA,NA,NA,NA
196,19,2,NA,1,2,NA,NA,NA,NA
298,19,1,1,1,NA,NA,NA,NA,NA
317,17,2,NA,1,NA,NA,NA,NA,NA
357,17,1,1,1,1,NA,NA,NA,NA
94,17,1,2,1,5,NA,NA,NA,NA
1017,14,1,NA,1,NA,NA,NA,NA,NA
465,19,1,1,1,5,2,NA,NA,NA
614,16,1,2,1,1,NA,NA,NA,NA
611,13,1,2,2,7,NA,NA,NA,NA
143,17,2,NA,1,1,NA,NA,NA,NA
138,17,2,NA,1,1,NA,NA,NA,NA
141,14,1,NA,2,7,NA,NA,NA,NA
142,15,2,NA,1,4,NA,NA,NA,NA
381,14,1,2,2,7,NA,NA,NA,NA
552,17,1,2,1,5,NA,1,NA,2
447,15,1,2,1,4,NA,NA,NA,NA
448,16,1,2,1,4,NA,NA,NA,NA
450,19,1,2,1,4,NA,NA,NA,NA
451200,16,1,2,1,4,NA,NA,NA,NA
482,20,1,1,1,1,NA,NA,NA,NA
495,20,1,2,1,3,NA,NA,NA,NA
479,19,1,1,1,1,NA,NA,NA,NA
481,14,1,1,1,5,NA,NA,NA,NA
436,19,1,NA,1,3,NA,NA,NA,NA
543200,20,1,1,1,NA,NA,2,NA,NA
543300,19,1,2,1,1,NA,NA,NA,NA
123,20,2,NA,1,4,NA,NA,NA,NA
536,14,2,NA,1,NA,NA,NA,NA,NA
445,17,1,1,1,3,NA,NA,NA,NA
483,18,1,1,1,1,NA,NA,NA,NA
436200,15,1,1,NA,1,NA,NA,NA,NA
531,19,1,NA,1,NA,NA,NA,NA,NA
427,19,1,1,1,2,NA,2,1,2
442,19,1,2,1,4,NA,NA,NA,NA
382,20,1,2,2,7,NA,2,2,2
443,16,1,2,2,7,NA,NA,NA,NA
